Time,Speed
0,0
1,4.250064851
2,24.37537194
3,49.75075914
4,77.50118257
5,108.3766537
6,113.0017243
7,116.126772
8,119.2518196
9,125.6269169
10,131.8770123
11,139.6271305
12,144.2522011
13,150.2522927
14,153.1273365
15,155.7523766
16,165.1275196
17,171.8776226
18,176.0026856
19,178.2527199
20,180.1277485
21,180.3777523
22,179.6277409
23,177.6277104
24,175.3776761
25,172.2526284
26,168.6275731
27,164.7525139
28,161.3774624
29,157.0023957
30,152.8773327
31,147.8772564
32,144.1271992
33,138.2521096
34,133.627039
35,128.7519646
36,122.2518654
37,117.0017853
38,110.8766918
39,105.1266041
40,98.2514992
41,93.75143053
42,89.00135805
43,84.62629129
